id,name,deadline_time,finished,is_current
1,Gameweek 1,2025-08-15T17:30:00Z,True,False
2,Gameweek 2,2025-08-22T17:30:00Z,True,False
3,Gameweek 3,2025-08-30T10:00:00Z,True,False
4,Gameweek 4,2025-09-13T10:00:00Z,True,False
5,Gameweek 5,2025-09-20T10:00:00Z,True,False
6,Gameweek 6,2025-09-27T10:00:00Z,True,False
7,Gameweek 7,2025-10-03T17:30:00Z,True,True
8,Gameweek 8,2025-10-18T10:00:00Z,False,False
9,Gameweek 9,2025-10-24T17:30:00Z,False,False
10,Gameweek 10,2025-11-01T13:30:00Z,False,False
11,Gameweek 11,2025-11-08T11:00:00Z,False,False
12,Gameweek 12,2025-11-22T11:00:00Z,False,False
13,Gameweek 13,2025-11-29T13:30:00Z,False,False
14,Gameweek 14,2025-12-02T18:00:00Z,False,False
15,Gameweek 15,2025-12-06T11:00:00Z,False,False
16,Gameweek 16,2025-12-13T13:30:00Z,False,False
17,Gameweek 17,2025-12-20T11:00:00Z,False,False
18,Gameweek 18,2025-12-27T13:30:00Z,False,False
19,Gameweek 19,2025-12-30T18:30:00Z,False,False
20,Gameweek 20,2026-01-03T13:30:00Z,False,False
21,Gameweek 21,2026-01-07T18:30:00Z,False,False
22,Gameweek 22,2026-01-17T13:30:00Z,False,False
23,Gameweek 23,2026-01-24T13:30:00Z,False,False
24,Gameweek 24,2026-01-31T13:30:00Z,False,False
25,Gameweek 25,2026-02-07T13:30:00Z,False,False
26,Gameweek 26,2026-02-11T18:30:00Z,False,False
27,Gameweek 27,2026-02-21T13:30:00Z,False,False
28,Gameweek 28,2026-02-28T13:30:00Z,False,False
29,Gameweek 29,2026-03-04T18:30:00Z,False,False
30,Gameweek 30,2026-03-14T13:30:00Z,False,False
31,Gameweek 31,2026-03-21T13:30:00Z,False,False
32,Gameweek 32,2026-04-11T12:30:00Z,False,False
33,Gameweek 33,2026-04-18T12:30:00Z,False,False
34,Gameweek 34,2026-04-25T12:30:00Z,False,False
35,Gameweek 35,2026-05-02T12:30:00Z,False,False
36,Gameweek 36,2026-05-09T12:30:00Z,False,False
37,Gameweek 37,2026-05-17T12:30:00Z,False,False
38,Gameweek 38,2026-05-24T13:30:00Z,False,False
